team,elo_2026,win_rate,form,cluster,tier
Fiji,233.1537254226222,0.39622641509433965,0.0,2,Medium
Solomon Islands,232.7308391421784,0.41284403669724773,0.2,2,Medium
Latvia,232.6610885898913,0.2489451476793249,0.0,1,Weak
Singapore,230.70614920990496,0.39094650205761317,0.4,2,Medium
Puerto Rico,226.69172982369017,0.3787878787878788,0.0,2,Medium
Lithuania,210.7989914204735,0.22869955156950672,0.0,1,Weak
Central African Republic,209.2629521153588,0.24719101123595505,0.4,2,Medium
Guinea-Bissau,209.08714315791167,0.20652173913043478,0.2,1,Weak
Yemen,208.4885952612649,0.19889502762430938,0.4,1,Weak
Vanuatu,202.05108055682845,0.38461538461538464,0.4,2,Medium
Hong Kong,197.74354766361137,0.36666666666666664,0.4,2,Medium
Congo,192.5205839254235,0.25735294117647056,0.0,1,Weak
Bermuda,191.85226475062072,0.3333333333333333,0.2,2,Medium
Moldova,191.0705442336932,0.19730941704035873,0.0,1,Weak
Papua New Guinea,181.8340355311689,0.34328358208955223,0.8,0,Strong
Eswatini,178.85425646426785,0.20634920634920634,0.0,1,Weak
Afghanistan,149.49996624435215,0.2905982905982906,0.0,1,Weak
India,146.96730594156287,0.385,0.0,2,Medium
Grenada,131.53237585459692,0.23958333333333334,0.8,2,Medium
South Sudan,131.03206650521648,0.16666666666666666,0.0,1,Weak
Montserrat,106.1716205396812,0.28205128205128205,0.2,1,Weak
Mauritius,103.1728071109148,0.20454545454545456,0.0,1,Weak
Chad,72.56095248474034,0.16666666666666666,0.0,1,Weak
Myanmar,67.37720026726069,0.3352601156069364,0.4,2,Medium
Eritrea,52.69162300113256,0.1702127659574468,0.0,1,Weak
Belize,47.27984987061978,0.225,0.2,1,Weak
Aruba,45.84608371497016,0.24444444444444444,0.4,1,Weak
Bangladesh,44.03428875962739,0.2606060606060606,0.2,1,Weak
Dominica,37.12917926426619,0.2753623188405797,0.2,1,Weak
Andorra,19.91490801917926,0.05913978494623656,0.0,1,Weak
Samoa,2.265096138633671,0.36363636363636365,0.4,2,Medium
Nepal,0.8227705024350564,0.2602739726027397,0.0,1,Weak
Barbados,-30.141077300052167,0.2830188679245283,0.0,1,Weak
Mongolia,-35.66099389991377,0.2857142857142857,0.4,1,Weak
Somalia,-38.38851583754207,0.08823529411764706,0.2,1,Weak
Maldives,-38.90123440481082,0.3469387755102041,0.2,1,Weak
